2019,AF,AFG,   Afghanistan,31,11,109,33,11,116,65,22,225,118,39,388,282,89,859,399,126,1207,238,102,696,251,107,734,489,208,1430,3034,1232,10367,7433,2920,26305,10467,4094,36392,52,17,188,55,18,199,108,35,386,393,108,1445,1001,271,3741,1394,383,5104,2719276,2857818,5577094,9888938,10581009,20469947,5022129,5254104,10276233,532822,462202,995024
2019,AL,ALB,   Albania,0,0,1,0,0,1,1,0,2,3,1,9,25,8,62,28,9,71,9,5,13,9,5,14,18,10,27,330,179,593,1087,538,2157,1417,722,2749,1,0,2,1,0,2,2,1,4,15,0,56,69,1,256,84,1,303,92405,99556,191961,1020435,1002146,2022582,166171,178656,344827,211196,193418,404613
2019,DZ,DZA,   Algeria,17,2,52,18,2,55,35,5,107,54,20,120,105,32,233,158,54,359,359,133,540,376,140,565,735,273,1105,9493,4239,14400,11302,5713,16927,20796,9874,31167,57,8,112,60,8,118,117,16,230,899,187,1706,1094,278,2101,1994,454,3879,2464184,2570816,5035000,13481103,13701076,27182180,3983901,4151510,8135411,1420451,1375239,2795690
2019,AO,AGO,   Angola,1901,1335,2560,1947,1367,2622,3848,2701,5181,6512,4745,8487,2516,1808,3374,9028,6514,11646,15573,12221,19718,15832,12415,20047,31405,24636,39765,215054,183384,254721,94149,78791,112898,309203,262707,366841,2274,1378,3318,2340,1417,3414,4614,2794,6731,14770,10935,20902,6368,4555,8734,21138,15658,29013,2818533,2868842,5687374,8361635,8036088,16397723,4561590,4572012,9133602,394515,320576,715091
2019,AR,ARG,   Argentina,14,11,43,14,11,45,28,22,87,307,204,504,1069,664,1691,1376,896,2209,528,354,739,549,368,769,1077,722,1508,43635,37193,50438,91250,76976,109627,134886,116312,160402,37,30,48,39,31,50,76,61,98,1708,1249,2423,4123,2884,5924,5831,4214,8420,1831046,1900958,3732004,14479367,14144376,28623742,3555450,3687498,7242948,2946168,2030251,4976419
2019,AM,ARM,   Armenia,0,0,0,0,0,0,0,0,0,31,20,47,67,46,96,97,68,142,8,7,10,9,8,11,17,14,20,1229,1028,1551,2289,1881,2967,3518,2906,4520,0,0,0,0,0,0,0,0,1,51,32,87,109,68,183,161,99,272,102277,114084,216361,1086118,959365,2045483,203356,232460,435816,188494,111547,300041
2019,AU,AUS,   Australia,0,0,0,0,0,0,0,0,1,6,4,12,62,38,119,68,43,130,7,6,9,8,6,9,15,11,18,3536,2640,4479,25149,17893,33002,28684,20760,37586,1,0,1,1,0,1,1,1,2,122,65,208,696,340,1219,819,411,1407,766825,809520,1576345,8101835,8179426,16281261,1484650,1565040,3049690,2156078,1919976,4076054
2019,AT,AUT,   Austria,0,0,0,0,0,0,0,0,1,7,4,15,34,16,77,41,20,89,4,2,5,4,2,6,7,4,11,1858,1010,3103,6131,3418,9492,7989,4337,12400,0,0,1,0,0,1,1,0,2,43,9,100,133,25,293,176,33,387,201337,212108,413444,2852215,2891668,5743883,391897,411695,803592,931548,733274,1664822
2019,AZ,AZE,   Azerbaijan,3,1,5,3,1,6,6,2,12,146,79,236,247,120,411,393,194,641,70,49,97,80,56,111,149,106,207,3263,2475,4285,6308,4784,8239,9571,7232,12463,7,3,11,8,4,13,15,7,24,174,103,271,394,228,631,568,333,900,396732,446687,843420,3628301,3573203,7201504,721165,831594,1552758,379271,262332,641602
2019,BS,BHS,   Bahamas,7,6,9,7,6,9,14,12,18,45,34,57,76,55,97,121,92,150,85,73,101,90,76,106,175,149,207,2559,2263,2904,3268,2848,3743,5826,5166,6607,8,6,10,9,7,11,17,13,21,59,48,70,125,99,156,184,151,225,10334,10901,21235,142203,137267,279470,24032,25245,49276,22770,16763,39533
